function,lr_regime,lr,optimizer,avg_final_loss,std_final_loss,avg_conv_step,stability,best_final
Ackley-5D,conservative,0.005,AdamW,5.920118014017741,0.2012947036909158,800.0,1.0,5.64968204498291
Ackley-5D,conservative,0.005,Finsler-Full,5.920100212097168,0.20131528244566022,800.0,1.0,5.649626731872559
Ackley-5D,conservative,0.005,Finsler-NoAnna,5.920100212097168,0.20131528244566022,800.0,1.0,5.649626731872559
Ackley-5D,conservative,0.005,Finsler-AnnaOnly,5.920107205708821,0.20133206431551018,800.0,1.0,5.6496076583862305
Ackley-5D,standard,0.01,AdamW,5.920360247294108,0.20117299594958749,800.0,1.0,5.650055885314941
Ackley-5D,standard,0.01,Finsler-Full,5.920142809549968,0.2013621351172978,800.0,1.0,5.649626731872559
Ackley-5D,standard,0.01,Finsler-NoAnna,5.920142809549968,0.2013621351172978,800.0,1.0,5.649626731872559
Ackley-5D,standard,0.01,Finsler-AnnaOnly,5.920296669006348,0.20118054440161168,800.0,1.0,5.650008201599121
Ackley-5D,aggressive,0.05,AdamW,5.921013832092285,0.20140853480212392,800.0,1.0,5.650361061096191
Ackley-5D,aggressive,0.05,Finsler-Full,5.9207048416137695,0.20153910449081783,800.0,1.0,5.649733543395996
Ackley-5D,aggressive,0.05,Finsler-NoAnna,5.9207048416137695,0.20153910449081783,800.0,1.0,5.649733543395996
Ackley-5D,aggressive,0.05,Finsler-AnnaOnly,5.921360333760579,0.20103372287963808,800.0,1.0,5.651307106018066
Rastrigin-5D,conservative,0.005,AdamW,17.246145884195965,2.853066305094808,308.3333333333333,1.0,13.929454803466797
Rastrigin-5D,conservative,0.005,Finsler-Full,17.246145884195965,2.853087589616846,343.3333333333333,1.0,13.92947006225586
Rastrigin-5D,conservative,0.005,Finsler-NoAnna,17.246145884195965,2.853087589616846,343.3333333333333,1.0,13.92947006225586
Rastrigin-5D,conservative,0.005,Finsler-AnnaOnly,17.246135711669922,2.8530497500048444,308.3333333333333,1.0,13.929454803466797
Rastrigin-5D,standard,0.01,AdamW,17.246021270751953,2.853001856006236,288.0,1.0,13.929447174072266
Rastrigin-5D,standard,0.01,Finsler-Full,17.246103286743164,2.8529989736677974,305.6666666666667,1.0,13.929527282714844
Rastrigin-5D,standard,0.01,Finsler-NoAnna,17.246103286743164,2.8529989736677974,305.6666666666667,1.0,13.929527282714844
Rastrigin-5D,standard,0.01,Finsler-AnnaOnly,17.24604860941569,2.853002668837056,288.0,1.0,13.929489135742188
Rastrigin-5D,aggressive,0.05,AdamW,17.246318817138672,2.8527078493631657,275.6666666666667,1.0,13.930160522460938
Rastrigin-5D,aggressive,0.05,Finsler-Full,17.246153513590496,2.85297185065753,279.0,1.0,13.929718017578125
Rastrigin-5D,aggressive,0.05,Finsler-NoAnna,17.246153513590496,2.85297185065753,279.0,1.0,13.929718017578125
Rastrigin-5D,aggressive,0.05,Finsler-AnnaOnly,17.246140162150066,2.8527729652553653,275.6666666666667,1.0,13.929969787597656
SteepValley-2D,conservative,0.005,AdamW,17.750633875528973,7.92285373277071,800.0,1.0,8.990781784057617
SteepValley-2D,conservative,0.005,Finsler-Full,23.500485102335613,3.8596938517987622,800.0,1.0,18.72780418395996
SteepValley-2D,conservative,0.005,Finsler-NoAnna,23.500485102335613,3.8596938517987622,800.0,1.0,18.72780418395996
SteepValley-2D,conservative,0.005,Finsler-AnnaOnly,17.751050631205242,7.922383718491193,800.0,1.0,8.992043495178223
SteepValley-2D,standard,0.01,AdamW,17.717881838480633,7.932486400141239,800.0,1.0,8.981877326965332
SteepValley-2D,standard,0.01,Finsler-Full,17.7447026570638,7.914471444529536,800.0,1.0,9.023122787475586
SteepValley-2D,standard,0.01,Finsler-NoAnna,17.7447026570638,7.914471444529536,800.0,1.0,9.023122787475586
SteepValley-2D,standard,0.01,Finsler-AnnaOnly,17.717878977457683,7.932489550970797,800.0,1.0,8.981868743896484
SteepValley-2D,aggressive,0.05,AdamW,17.715936342875164,7.933815955732415,800.0,1.0,8.979116439819336
SteepValley-2D,aggressive,0.05,Finsler-Full,17.717573483784992,7.932034899240916,800.0,1.0,8.983748435974121
SteepValley-2D,aggressive,0.05,Finsler-NoAnna,17.717573483784992,7.932034899240916,800.0,1.0,8.983748435974121
SteepValley-2D,aggressive,0.05,Finsler-AnnaOnly,17.71655209859212,7.934454422019487,800.0,1.0,8.97921371459961
